"unitid","institution name","year","C2023_A.First or Second Major","C2023_A.CIP Code -  2020 Classification","CipTitle","C2023_A.Award Level code","C2023_A_RV.Grand total","IDX_C"
"142115","Boise State University","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"142115","Boise State University","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"148584","University of St Francis","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"148584","University of St Francis","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"165671","Emmanuel College","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"165671","Emmanuel College","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"165671","Emmanuel College","2023","Second major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"165671","Emmanuel College","2023","Second major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"173160","Bethel University","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"173160","Bethel University","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"173160","Bethel University","2023","Second major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","6","-2"
"173160","Bethel University","2023","Second major","'30.5202'","Digital Humanities","Bachelor's degree","6","-2"
"190567","CUNY City College","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","2","-2"
"190567","CUNY City College","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","2","-2"
"190576","CUNY Graduate School and University Center","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"190576","CUNY Graduate School and University Center","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"195003","Rochester Institute of Technology","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","12","-2"
"195003","Rochester Institute of Technology","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","12","-2"
"215947","Seton Hill University","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"215947","Seton Hill University","2023","First major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"232706","Marymount University","2023","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
