"unitid","institution name","year","C2024_A.First or Second Major","C2024_A.CIP Code -  2020 Classification","CipTitle","C2024_A.Award Level code","C2024_A.Grand total","IDX_C"
"142115","Boise State University","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","4","-2"
"142115","Boise State University","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","4","-2"
"148584","University of St Francis","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"148584","University of St Francis","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"165671","Emmanuel College","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"165671","Emmanuel College","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"169363","Concordia University Ann Arbor","2024","First major","'30.52'","Digital Humanities and Textual Studies","Master's degree","2","-2"
"169363","Concordia University Ann Arbor","2024","First major","'30.5202'","Digital Humanities","Master's degree","2","-2"
"173160","Bethel University","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","3","-2"
"173160","Bethel University","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","3","-2"
"190567","CUNY City College","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","4","-2"
"190567","CUNY City College","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","4","-2"
"190576","CUNY Graduate School and University Center","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"190576","CUNY Graduate School and University Center","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"195003","Rochester Institute of Technology","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","14","-2"
"195003","Rochester Institute of Technology","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","14","-2"
"215798","Saint Vincent College","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"215798","Saint Vincent College","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"215798","Saint Vincent College","2024","Second major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"215798","Saint Vincent College","2024","Second major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"215947","Seton Hill University","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"215947","Seton Hill University","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"215947","Seton Hill University","2024","Second major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"215947","Seton Hill University","2024","Second major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"230852","Champlain College","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"230852","Champlain College","2024","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"232706","Marymount University","2024","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","2","-2"
