"unitid","institution name","year","C2017_A.First or Second Major","C2017_A.CIP Code -  2010 Classification","CipTitle","C2017_A.Award Level code","C2017_A_RV.Grand total","IDX_C"
"100663","University of Alabama at Birmingham","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"100663","University of Alabama at Birmingham","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"100706","University of Alabama in Huntsville","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","13","-2"
"100706","University of Alabama in Huntsville","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"100751","The University of Alabama","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","31","-2"
"100751","The University of Alabama","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","20","-2"
"100751","The University of Alabama","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","3","-2"
"100751","The University of Alabama","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","22","-2"
"100751","The University of Alabama","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","46","-2"
"100751","The University of Alabama","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","30","-2"
"100830","Auburn University at Montgomery","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"100830","Auburn University at Montgomery","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"100858","Auburn University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","37","-2"
"100858","Auburn University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","6","-2"
"100858","Auburn University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","19","-2"
"100858","Auburn University","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","6","-2"
"100858","Auburn University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"100858","Auburn University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"101480","Jacksonville State University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"101480","Jacksonville State University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"101709","University of Montevallo","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"101709","University of Montevallo","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"101879","University of North Alabama","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"101879","University of North Alabama","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"101879","University of North Alabama","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"101879","University of North Alabama","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"101912","Oakwood University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"101912","Oakwood University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"102049","Samford University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"102049","Samford University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"102049","Samford University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"102049","Samford University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"102094","University of South Alabama","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","13","-2"
"102094","University of South Alabama","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"102234","Spring Hill College","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"102234","Spring Hill College","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"102368","Troy University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"102368","Troy University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"102368","Troy University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"102368","Troy University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"102553","University of Alaska Anchorage","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","15","-2"
"102614","University of Alaska Fairbanks","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","21","-2"
"102614","University of Alaska Fairbanks","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"104151","Arizona State University Campus Immersion","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","78","-2"
"104151","Arizona State University Campus Immersion","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","9","-2"
"104151","Arizona State University Campus Immersion","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","15","-2"
"104151","Arizona State University Campus Immersion","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","23","-2"
"104151","Arizona State University Campus Immersion","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","2","-2"
"104151","Arizona State University Campus Immersion","2017","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","6","-2"
"104151","Arizona State University Campus Immersion","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"104179","University of Arizona","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","162","-2"
"104179","University of Arizona","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","36","-2"
"104179","University of Arizona","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","13","-2"
"104179","University of Arizona","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","79","-2"
"104179","University of Arizona","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","2","-2"
"104179","University of Arizona","2017","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","5","-2"
"104179","University of Arizona","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","54","-2"
"104179","University of Arizona","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","21","-2"
"104717","Grand Canyon University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"104717","Grand Canyon University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"105330","Northern Arizona University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","43","-2"
"105330","Northern Arizona University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","5","-2"
"105330","Northern Arizona University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"105330","Northern Arizona University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","15","-2"
"105330","Northern Arizona University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"106245","University of Arkansas at Little Rock","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","42","-2"
"106342","Lyon College","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
