"unitid","institution name","year","C2024_A.First or Second Major","C2024_A.CIP Code -  2020 Classification","CipTitle","C2024_A.Award Level code","C2024_A.Grand total","IDX_C"
"100663","University of Alabama at Birmingham","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","18","-2"
"100663","University of Alabama at Birmingham","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"100706","University of Alabama in Huntsville","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"100706","University of Alabama in Huntsville","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"100751","The University of Alabama","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","22","-2"
"100751","The University of Alabama","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","13","-2"
"100751","The University of Alabama","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","0","-2"
"100751","The University of Alabama","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","11","-2"
"100751","The University of Alabama","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","0","-2"
"100751","The University of Alabama","2024","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","0","-2"
"100751","The University of Alabama","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","38","-2"
"100751","The University of Alabama","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","20","-2"
"100830","Auburn University at Montgomery","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"100830","Auburn University at Montgomery","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"100858","Auburn University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","32","-2"
"100858","Auburn University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","7","-2"
"100858","Auburn University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","22","-2"
"100858","Auburn University","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","7","-2"
"100858","Auburn University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"100858","Auburn University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"101480","Jacksonville State University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"101693","University of Mobile","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"101709","University of Montevallo","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"101879","University of North Alabama","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"101879","University of North Alabama","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"101879","University of North Alabama","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"101879","University of North Alabama","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"101912","Oakwood University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"101912","Oakwood University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"102049","Samford University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"102049","Samford University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"102049","Samford University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"102049","Samford University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"102094","University of South Alabama","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"102368","Troy University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","18","-2"
"102368","Troy University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"102553","University of Alaska Anchorage","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","8","-2"
"102614","University of Alaska Fairbanks","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"102614","University of Alaska Fairbanks","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"104151","Arizona State University Campus Immersion","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","90","-2"
"104151","Arizona State University Campus Immersion","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","13","-2"
"104151","Arizona State University Campus Immersion","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","12","-2"
"104151","Arizona State University Campus Immersion","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","35","-2"
"104151","Arizona State University Campus Immersion","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","2","-2"
"104151","Arizona State University Campus Immersion","2024","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","1","-2"
"104179","University of Arizona","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","126","-2"
"104179","University of Arizona","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","18","-2"
"104179","University of Arizona","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","24","-2"
"104179","University of Arizona","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","77","-2"
"104179","University of Arizona","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"104179","University of Arizona","2024","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","9","-2"
"104179","University of Arizona","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","55","-2"
"104179","University of Arizona","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","25","-2"
"104717","Grand Canyon University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"104717","Grand Canyon University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"105297","Dine College","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"105330","Northern Arizona University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","48","-2"
