"unitid","institution name","year","C2021_A.First or Second Major","C2021_A.CIP Code -  2020 Classification","CipTitle","C2021_A.Award Level code","C2021_A_RV.Grand total","IDX_C"
"142115","Boise State University","2021","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"142115","Boise State University","2021","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"173160","Bethel University","2021","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"173160","Bethel University","2021","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"173160","Bethel University","2021","Second major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","4","-2"
"173160","Bethel University","2021","Second major","'30.5202'","Digital Humanities","Bachelor's degree","4","-2"
"190567","CUNY City College","2021","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","1","-2"
"190567","CUNY City College","2021","First major","'30.5202'","Digital Humanities","Bachelor's degree","1","-2"
"190576","CUNY Graduate School and University Center","2021","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","0","-2"
"190576","CUNY Graduate School and University Center","2021","First major","'30.5202'","Digital Humanities","Bachelor's degree","0","-2"
"195003","Rochester Institute of Technology","2021","First major","'30.52'","Digital Humanities and Textual Studies","Bachelor's degree","7","-2"
"195003","Rochester Institute of Technology","2021","First major","'30.5202'","Digital Humanities","Bachelor's degree","7","-2"
