"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A_RV.Grand total","IDX_C"
"100654","Alabama A & M University","2019","First major","'13'","Education","Bachelor's degree","26","-2"
"100654","Alabama A & M University","2019","First major","'13'","Education","Master's degree","32","-2"
"100654","Alabama A & M University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","2","-2"
"100663","University of Alabama at Birmingham","2019","First major","'13'","Education","Bachelor's degree","179","-2"
"100663","University of Alabama at Birmingham","2019","First major","'13'","Education","Master's degree","215","-2"
"100663","University of Alabama at Birmingham","2019","First major","'13'","Education","Doctor's degree - research/scholarship","2","-2"
"100663","University of Alabama at Birmingham","2019","First major","'13'","Education","Doctor's degree - professional practice","5","-2"
"100663","University of Alabama at Birmingham","2019","Second major","'13'","Education","Bachelor's degree","6","-2"
"100706","University of Alabama in Huntsville","2019","First major","'13'","Education","Bachelor's degree","16","-2"
"100706","University of Alabama in Huntsville","2019","First major","'13'","Education","Master's degree","31","-2"
"100724","Alabama State University","2019","First major","'13'","Education","Bachelor's degree","49","-2"
"100724","Alabama State University","2019","First major","'13'","Education","Master's degree","41","-2"
"100724","Alabama State University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","3","-2"
"100724","Alabama State University","2019","First major","'13'","Education","Doctor's degree - professional practice","0","-2"
"100751","The University of Alabama","2019","First major","'13'","Education","Bachelor's degree","427","-2"
"100751","The University of Alabama","2019","First major","'13'","Education","Master's degree","119","-2"
"100751","The University of Alabama","2019","First major","'13'","Education","Doctor's degree - research/scholarship","74","-2"
"100812","Athens State University","2019","First major","'13'","Education","Bachelor's degree","175","-2"
"100812","Athens State University","2019","First major","'13'","Education","Master's degree","35","-2"
"100830","Auburn University at Montgomery","2019","First major","'13'","Education","Bachelor's degree","46","-2"
"100830","Auburn University at Montgomery","2019","First major","'13'","Education","Master's degree","53","-2"
"100858","Auburn University","2019","First major","'13'","Education","Bachelor's degree","286","-2"
"100858","Auburn University","2019","First major","'13'","Education","Master's degree","234","-2"
"100858","Auburn University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","40","-2"
"100858","Auburn University","2019","First major","'13'","Education","Doctor's degree - other","0","-2"
"100858","Auburn University","2019","First major","'13.1306'","Foreign Language Teacher Education","Bachelor's degree","2","-2"
"101189","Faulkner University","2019","First major","'13'","Education","Bachelor's degree","8","-2"
"101189","Faulkner University","2019","First major","'13'","Education","Master's degree","43","-2"
"101435","Huntingdon College","2019","First major","'13'","Education","Bachelor's degree","9","-2"
"101480","Jacksonville State University","2019","First major","'13'","Education","Bachelor's degree","114","-2"
"101480","Jacksonville State University","2019","First major","'13'","Education","Master's degree","168","-2"
"101587","University of West Alabama","2019","First major","'13'","Education","Bachelor's degree","30","-2"
"101587","University of West Alabama","2019","First major","'13'","Education","Master's degree","802","-2"
"101587","University of West Alabama","2019","First major","'13'","Education","Doctor's degree - research/scholarship","0","-2"
"101587","University of West Alabama","2019","Second major","'13'","Education","Master's degree","11","-2"
"101675","Miles College","2019","First major","'13'","Education","Bachelor's degree","4","-2"
"101693","University of Mobile","2019","First major","'13'","Education","Bachelor's degree","45","-2"
"101693","University of Mobile","2019","First major","'13'","Education","Master's degree","16","-2"
"101693","University of Mobile","2019","Second major","'13'","Education","Bachelor's degree","6","-2"
"101709","University of Montevallo","2019","First major","'13'","Education","Bachelor's degree","24","-2"
"101709","University of Montevallo","2019","First major","'13'","Education","Master's degree","64","-2"
"101709","University of Montevallo","2019","Second major","'13'","Education","Master's degree","4","-2"
"101879","University of North Alabama","2019","First major","'13'","Education","Bachelor's degree","119","-2"
"101879","University of North Alabama","2019","First major","'13'","Education","Master's degree","88","-2"
"101912","Oakwood University","2019","First major","'13'","Education","Bachelor's degree","10","-2"
"102049","Samford University","2019","First major","'13'","Education","Bachelor's degree","36","-2"
"102049","Samford University","2019","First major","'13'","Education","Master's degree","60","-2"
"102049","Samford University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","29","-2"
"102049","Samford University","2019","Second major","'13'","Education","Master's degree","10","-2"
"102094","University of South Alabama","2019","First major","'13'","Education","Bachelor's degree","176","-2"
"102094","University of South Alabama","2019","First major","'13'","Education","Master's degree","126","-2"
"102094","University of South Alabama","2019","First major","'13'","Education","Doctor's degree - research/scholarship","18","-2"
"102234","Spring Hill College","2019","First major","'13'","Education","Bachelor's degree","15","-2"
"102234","Spring Hill College","2019","First major","'13'","Education","Master's degree","1","-2"
"102270","Stillman College","2019","First major","'13'","Education","Bachelor's degree","12","-2"
"102298","Talladega College","2019","First major","'13'","Education","Bachelor's degree","0","-2"
"102368","Troy University","2019","First major","'13'","Education","Bachelor's degree","149","-2"
"102368","Troy University","2019","First major","'13'","Education","Master's degree","117","-2"
"102368","Troy University","2019","Second major","'13'","Education","Bachelor's degree","18","-2"
"102377","Tuskegee University","2019","First major","'13'","Education","Bachelor's degree","1","-2"
"102377","Tuskegee University","2019","First major","'13'","Education","Master's degree","0","-2"
"102395","United States Sports Academy","2019","First major","'13'","Education","Bachelor's degree","5","-2"
"102395","United States Sports Academy","2019","First major","'13'","Education","Master's degree","4","-2"
"102553","University of Alaska Anchorage","2019","First major","'13'","Education","Bachelor's degree","37","-2"
"102553","University of Alaska Anchorage","2019","First major","'13'","Education","Master's degree","60","-2"
"102614","University of Alaska Fairbanks","2019","First major","'13'","Education","Bachelor's degree","27","-2"
"102614","University of Alaska Fairbanks","2019","First major","'13'","Education","Master's degree","42","-2"
"102632","University of Alaska Southeast","2019","First major","'13'","Education","Bachelor's degree","23","-2"
"102632","University of Alaska Southeast","2019","First major","'13'","Education","Master's degree","101","-2"
"102669","Alaska Pacific University","2019","First major","'13'","Education","Master's degree","0","-2"
"104151","Arizona State University Campus Immersion","2019","First major","'13'","Education","Bachelor's degree","396","-2"
"104151","Arizona State University Campus Immersion","2019","First major","'13'","Education","Master's degree","167","-2"
"104151","Arizona State University Campus Immersion","2019","First major","'13'","Education","Doctor's degree - research/scholarship","20","-2"
