"unitid","institution name","year","C2015_A.First or Second Major","C2015_A.CIP Code -  2010 Classification","CipTitle","C2015_A.Award Level code","C2015_A_RV.Grand total","IDX_C"
"100663","University of Alabama at Birmingham","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","15","-2"
"100663","University of Alabama at Birmingham","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"100706","University of Alabama in Huntsville","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","14","-2"
"100751","The University of Alabama","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","40","-2"
"100751","The University of Alabama","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","15","-2"
"100751","The University of Alabama","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","4","-2"
"100751","The University of Alabama","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"100751","The University of Alabama","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","42","-2"
"100751","The University of Alabama","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","29","-2"
"100830","Auburn University at Montgomery","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"100830","Auburn University at Montgomery","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"100858","Auburn University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","61","-2"
"100858","Auburn University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","12","-2"
"100858","Auburn University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","45","-2"
"100858","Auburn University","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","12","-2"
"100858","Auburn University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"100858","Auburn University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"101480","Jacksonville State University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"101480","Jacksonville State University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"101709","University of Montevallo","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"101709","University of Montevallo","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"101879","University of North Alabama","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"101879","University of North Alabama","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"101912","Oakwood University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"101912","Oakwood University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"102049","Samford University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"102049","Samford University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"102049","Samford University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"102049","Samford University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"102094","University of South Alabama","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","16","-2"
"102094","University of South Alabama","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"102234","Spring Hill College","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"102234","Spring Hill College","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"102234","Spring Hill College","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"102234","Spring Hill College","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"102368","Troy University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","22","-2"
"102368","Troy University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"102368","Troy University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"102368","Troy University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"102553","University of Alaska Anchorage","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"102614","University of Alaska Fairbanks","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","25","-2"
"102614","University of Alaska Fairbanks","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"104151","Arizona State University Campus Immersion","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","126","-2"
"104151","Arizona State University Campus Immersion","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","17","-2"
"104151","Arizona State University Campus Immersion","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","11","-2"
"104151","Arizona State University Campus Immersion","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","48","-2"
"104151","Arizona State University Campus Immersion","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","11","-2"
"104151","Arizona State University Campus Immersion","2015","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","7","-2"
"104151","Arizona State University Campus Immersion","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"104179","University of Arizona","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","195","-2"
"104179","University of Arizona","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","53","-2"
"104179","University of Arizona","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","13","-2"
"104179","University of Arizona","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","85","-2"
"104179","University of Arizona","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","7","-2"
"104179","University of Arizona","2015","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","5","-2"
"104179","University of Arizona","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","49","-2"
"104179","University of Arizona","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","19","-2"
"105330","Northern Arizona University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","18","-2"
"105330","Northern Arizona University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","8","-2"
"105330","Northern Arizona University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","13","-2"
"105330","Northern Arizona University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","24","-2"
"105330","Northern Arizona University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","18","-2"
"106245","University of Arkansas at Little Rock","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","29","-2"
"106245","University of Arkansas at Little Rock","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"106342","Lyon College","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"106342","Lyon College","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"106342","Lyon College","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"106342","Lyon College","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"106397","University of Arkansas","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","52","-2"
